               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 135,            0.044536,            0.010696,           0.0041257,             0.99228,             0.97619,              0.9918,             0.69303,            0.017839,           0.0043221,           0.0028694,           0.0073468,           0.0073468,           0.0073468
                 136,            0.042182,           0.0086299,           0.0040347,             0.99228,             0.97619,              0.9918,             0.69303,            0.017839,           0.0043221,           0.0028694,            0.007327,            0.007327,            0.007327
                 137,            0.042407,           0.0074388,           0.0038312,             0.99938,             0.97619,             0.97536,             0.73598,            0.014461,           0.0042489,           0.0028234,           0.0073072,           0.0073072,           0.0073072
                 138,            0.042931,           0.0072196,           0.0044629,             0.99816,             0.97619,             0.97773,             0.59258,            0.019452,           0.0044871,           0.0027685,           0.0072874,           0.0072874,           0.0072874
                 139,             0.04128,           0.0065205,           0.0042621,             0.99004,             0.95193,             0.98937,             0.57884,            0.019456,           0.0044157,           0.0027941,           0.0072676,           0.0072676,           0.0072676
                 140,            0.039345,           0.0081691,           0.0039655,             0.99004,             0.95193,             0.98937,             0.57884,            0.019456,           0.0044157,           0.0027941,           0.0072478,           0.0072478,           0.0072478
                 141,            0.038063,           0.0071295,           0.0049707,             0.97293,             0.97619,             0.97415,             0.63627,            0.016974,            0.004296,           0.0027912,            0.007228,            0.007228,            0.007228
                 142,            0.037391,           0.0073573,           0.0048282,             0.81194,             0.97619,             0.92045,             0.58988,            0.016069,           0.0043642,           0.0027798,           0.0072082,           0.0072082,           0.0072082
                 143,            0.041064,           0.0094151,           0.0073845,              0.9965,             0.97619,             0.97535,             0.75726,            0.017075,            0.004371,           0.0027899,           0.0071884,           0.0071884,           0.0071884
                 144,             0.04288,           0.0084232,           0.0047987,              0.9965,             0.97619,             0.97535,             0.75726,            0.017075,            0.004371,           0.0027899,           0.0071686,           0.0071686,           0.0071686
                 145,            0.037517,           0.0087021,           0.0044036,             0.99642,             0.97619,             0.97535,             0.83535,            0.013703,           0.0042656,           0.0027755,           0.0071488,           0.0071488,           0.0071488
                 146,            0.035268,           0.0085802,           0.0068005,             0.99729,             0.97619,             0.97983,             0.72884,            0.015771,           0.0042749,           0.0027418,            0.007129,            0.007129,            0.007129
                 147,            0.038126,           0.0090215,           0.0055155,             0.99797,             0.97619,             0.98118,             0.57016,            0.026211,           0.0048455,           0.0027275,           0.0071092,           0.0071092,           0.0071092
                 148,            0.048258,             0.00979,           0.0038226,             0.99797,             0.97619,             0.98118,             0.57016,            0.026211,           0.0048455,           0.0027275,           0.0070894,           0.0070894,           0.0070894
                 149,            0.041865,           0.0083356,           0.0047647,             0.97771,             0.97619,             0.97539,             0.66526,            0.024147,           0.0046764,            0.002732,           0.0070696,           0.0070696,           0.0070696
                 150,            0.040072,           0.0089886,           0.0041253,             0.99723,             0.97623,               0.995,             0.78449,            0.020087,           0.0044874,           0.0028199,           0.0070498,           0.0070498,           0.0070498
                 151,            0.040221,           0.0081328,           0.0046938,             0.99972,             0.97619,             0.97536,             0.60795,            0.018607,           0.0043974,           0.0030086,             0.00703,             0.00703,             0.00703
                 152,            0.039218,           0.0081789,           0.0047876,             0.99972,             0.97619,             0.97536,             0.60795,            0.018607,           0.0043974,           0.0030086,           0.0070102,           0.0070102,           0.0070102
                 153,            0.038496,           0.0079843,           0.0079132,             0.99623,                   1,               0.995,             0.61084,            0.019237,           0.0042868,            0.003193,           0.0069904,           0.0069904,           0.0069904
